R	53.3347	-6.22979	E923	06 Mar 2025	E923\n12:35 - Bray to Howth (0 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3363	-8.24081	A710	06 Mar 2025	A710\n11:30 - Dublin Heuston to Galway (3 mins late)\nDeparted Ballinasloe next stop Woodlawn	To Galway
R	53.3397	-6.23773	E228	06 Mar 2025	E228\n12:35 - Howth to Bray (3 mins late)\nArrived Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.347	-6.25425	E820	06 Mar 2025	E820\n12:25 - Bray to Malahide (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.347	-6.25425	P610	06 Mar 2025	P610\n12:03 - Drogheda to Grand Canal Dock (2 mins late)\nDeparted Tara Street next stop Dublin Pearse	To Grand Canal Dock
R	53.3531	-6.24591	D816	06 Mar 2025	D816\n13:07 - Dublin Connolly to Drogheda (-4 mins late)\nDeparted Dublin Connolly next stop Malahide	Northbound
R	53.3629	-6.22753	A111	06 Mar 2025	A111\n11:00 - Belfast to Dublin Connolly (1 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3629	-6.22753	E229	06 Mar 2025	E229\n12:44 - Malahide to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	A906	06 Mar 2025	A906\n13:05 - Dublin Connolly to Sligo (0 mins late)\nArrived Drumcondra next stop Broombridge	Northbound
R	53.373	-6.20442	E922	06 Mar 2025	E922\n12:01 - Greystones to Howth (0 mins late)\nDeparted Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	P751	06 Mar 2025	P751\n12:39 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Pelletstown next stop Broombridge	Southbound
R	53.3776	-6.39072	D915	06 Mar 2025	D915\n12:45 - Dublin Connolly to Maynooth (4 mins late)\nArrived Coolmine next stop Clonsilla	Northbound
R	53.378	-6.58993	P752	06 Mar 2025	P752\n13:10 - Maynooth to Dublin Connolly (0 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3786	-6.19131	E115	06 Mar 2025	E115\n12:55 - Howth to Greystones (1 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.3815	-6.17699	E819	06 Mar 2025	E819\n12:05 - Bray to Malahide (5 mins late)\nDeparted Raheny next stop Kilbarrack	Northbound
